Pole_ID,Pole_name,Age,Age_mean,Plat,Plong,A95,Euler_lat,Euler_lon,Euler_angle,marker,Color_ID
CZ,,Cenozoic,,87.5,315.6,5.9,0,0,0,o,steelblue
K1,,Late Cretaceous,,75.5,205.3,4.5,0,0,0,o,steelblue
K1,,Early Cretaceous,,79,208.3,5.9,0,0,0,o,steelblue
J3,,Late Jurassic,,71,215.1,6.7,0,0,0,o,steelblue
J2,,Middle Jurassic,,65,186.2,15,0,0,0,o,steelblue
J1,,Early Jurassic,,65.5,190.9,5.3,0,0,0,o,steelblue
T3,,Late Triassic,,51.4,187.2,8.5,0,0,0,o,steelblue
T2,,Middle Triassic,,34.7,209.4,9.1,0,0,0,o,steelblue
T1,,Early Triassic,,45,216.8,3.9,0,0,0,o,steelblue
P2,,Late Permian,,53.4,247.7,4,0,0,0,o,steelblue
P1,,Early Permian,,65.3,265.2,5.832666629,0,0,0,o,steelblue
C1,,Early Carboniferous,,47.5,229.1,6.788225099,0,0,0,o,steelblue
D3,,Late Devonian,,45.4,234.1,4.666904756,0,0,0,o,steelblue
D2,,Middle Devonian,,33.6,236.4,3,0,0,0,o,steelblue
D12,,Early and Middle Devonian,,36.1,231.4,9.013878189,0,0,0,o,steelblue
S23,,Middle and Late Silurian,,10.3,195.8,3.3,0,0,0,o,steelblue
O23,,Middle and Late Ordovician,,-29.5,227.1,6.3,0,0,0,o,steelblue
O1,,Early Ordovician,,-38.4,154.9,10.25085362,0,0,0,o,steelblue
Cam2,,Middle Cambrian,,-47.6,174.5,5.2,0,0,0,o,steelblue
Cam1,,Early Cambrian,,5.3,192.7,15,0,0,0,o,steelblue
DST,,560,560,23.9,187,2.323790008,0,0,0,o,yellowgreen
NT,,635,635,7.5,161.6,5.9,0,0,0,o,yellowgreen
LT_upper,Upper Liantuo Fm,779.52,779.52,19.6,144.4,4.2,0,0,0,o,yellowgreen
LT_lower,Lower Liantuo Fm,779.52,779.52,24.9,136.4,6.6,0,0,0,o,yellowgreen
CJ,Chengjiang Fm,799.5,799.5,29.7,75.3,7.9,0,0,0,o,yellowgreen
MDY,Madiyi Fm,804.9,804.9,34.7,82,6.7,0,0,0,o,yellowgreen
XJ,Xiajiang Group,813,813,42.7,104,8.1,0,0,0,o,yellowgreen
XF_Jing,Xiaofeng dykes (Jing et al.l 2019),821.64,821.64,26.1,82.1,14.6,0,0,0,o,yellowgreen
XF_Li,Xiaofeng dykes (Li et al.l 2004),821.64,821.64,13.5,91,10.89265808,0,0,0,o,yellowgreen
YB,,824,824,45.1,130.4,19,0,0,0,o,yellowgreen
HT2(tilt-corr),,840,832,-10.56691369,72.405294,3.748233798,0,0,0,^,yellowgreen
FJS (reverse),Fanjingshan dykes,832.51,831.51,34.7,298.2,8.9,0,0,0,D,yellowgreen
FJS,Fanjingshan dykes,832.51,832.51,-34.7,118.2,8.6,0,0,0,D,yellowgreen